Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 18:47:29,0.00,0.00,0.00,0.04,1.43,1.86,0.00,0.04
2025-07-30 18:48:29,0.04,0.93,0.86,1.71,12.75,3.64,2.86,4.82
2025-07-30 18:49:29,0.00,1.00,0.97,2.00,13.28,2.07,3.28,5.79
2025-07-30 18:50:29,0.00,0.00,0.00,0.00,0.68,0.21,0.00,0.14
2025-07-30 18:51:29,0.00,0.89,0.32,1.18,11.00,2.00,2.54,4.64
2025-07-30 18:52:29,0.00,0.00,0.00,0.00,0.28,1.10,0.00,0.00
2025-07-30 18:53:29,0.00,0.00,0.00,0.00,0.43,2.00,0.00,0.00
2025-07-30 18:54:29,0.00,0.00,0.00,0.00,0.52,1.93,0.00,0.00
2025-07-30 18:55:29,0.00,0.00,0.00,0.00,0.46,1.93,0.00,0.00
2025-07-30 18:56:29,0.00,0.00,0.00,0.00,0.64,2.00,0.00,0.00
2025-07-30 18:57:29,0.00,0.00,0.00,0.07,1.14,2.00,0.00,0.00
2025-07-30 18:58:29,0.00,0.00,0.00,0.04,1.04,2.00,0.00,0.00
2025-07-30 18:59:29,0.00,0.00,0.00,0.03,1.28,2.00,0.00,0.00
2025-07-30 19:00:29,0.00,0.00,0.00,0.00,1.21,2.00,0.00,0.00
2025-07-30 19:01:29,0.00,0.00,0.00,0.07,0.55,1.17,0.00,0.00
2025-07-30 19:02:29,0.00,0.00,0.00,0.07,0.79,1.31,0.00,0.03
2025-07-30 19:03:29,0.00,0.00,0.00,0.03,0.45,0.76,0.00,0.00
2025-07-30 19:04:29,0.00,0.00,0.00,0.21,0.79,1.10,0.00,0.00
2025-07-30 19:05:29,0.00,0.00,0.00,0.03,0.76,0.76,0.00,0.00
2025-07-30 19:06:29,0.00,0.00,0.00,0.07,0.50,1.14,0.00,0.00
2025-07-30 19:07:29,0.00,0.00,0.00,0.07,0.55,0.55,0.00,0.00
2025-07-30 19:08:29,0.00,0.00,0.00,0.00,0.79,0.83,0.00,0.00
2025-07-30 19:09:29,0.00,0.00,0.00,0.00,0.36,0.43,0.00,0.00
2025-07-30 19:10:29,0.00,0.00,0.00,0.00,0.41,0.48,0.00,0.00
2025-07-30 19:11:29,0.00,0.00,0.00,0.00,0.52,0.21,0.00,0.00
2025-07-30 19:12:29,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.00
2025-07-30 19:13:29,0.00,0.00,0.00,0.00,0.39,0.57,0.00,0.00
2025-07-30 19:14:29,0.00,0.00,0.00,0.00,0.50,0.14,0.00,0.00
2025-07-30 19:15:29,0.00,0.00,0.00,0.00,0.41,0.14,0.00,0.00
2025-07-30 19:16:29,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00
2025-07-30 19:17:29,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00
2025-07-30 19:18:29,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00
2025-07-30 19:19:29,0.00,0.00,0.00,0.00,0.04,0.07,0.00,0.00
2025-07-30 19:20:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
